,Comment,Emotion
1803,im going gush much relationship know im feeling content days,joy
1804,feel like soda shaken turbulently flew violently container moment felt air exchanging freedom,fear
1805,like type assumptions makes feels bit positive,joy
1806,feel obnoxious saying,anger
1807,ate feeling hateful towards number,anger
1808,feel like theyre rude first place long arent snappy every right ask touch,anger
1809,feel like im losing motivation since scale unkind lately cannot get attitude possibly throw away everything ive worked,anger
1810,feel strongly line want draw sand speak afraid especially point bring feel conclusion entail etc,fear
1811,feel think respected,joy
1812,hope enjoy reading please feel free leave comments,joy
1813,feel smiled love even gorgeous,joy
1814,started feel alarmed voices noisy actually couldnt listen thoughts,fear
1815,actually feel inside dangerous apart shoulder feel really amazing,anger
1816,feel way considering people pretending way sincere,joy
1817,feeling little skeptical today,fear
1818,feel like might engineering hostile situations mean wars missile testing dropping spy planes sky rest overwhelmingly chromosomes bored,anger
1819,feel say anything makes look petty,anger
1820,feel really greedy saying,anger
1821,feel people know fish properly therefore popular,joy
1822,ive feeling little overwhelmed whole thing lately somehow small step finding lectures helped bit,fear
1823,im afraid im environment makes feel relaxed cause,joy
1824,sort hate glasses make eyes look small since huge eyes going quite upset im hoping bigger frames make feel less paranoid,fear
1825,also find youre feeling cold get broom scrubbing brush vinegar old newspapers give house going,anger
1826,going post training schedule next several months right refer easily anyone feel like supporting joining,joy
1827,im feeling particularly dangerous chocolate cookie,anger
1828,know happened might still feel real feel dangerous plan going anywhere time soon,anger
1829,feel insulted,anger
1830,feeling intimidated work,fear
1831,know perhaps girls office nice short hair perhaps feeling rebellious,anger
1832,every right feel outraged legacy may danger,anger
1833,guess sucker grand endless battle apparent good apparent evil different anyone else feels divine gift discernment situations like,joy
1834,could loose job would f amp ed xmas hate xmas hate holidays wish would go away feel nervous feel sad disappoint family friends,fear
1835,feel irritable like running def cure,anger
1836,im feeling slightly intimidated,fear
1837,id probably go none hope date admires confident girl feels fine without makeup,joy
1838,im left feeling paranoid like keeps getting harder feel happy,fear
1839,means complete spiritually intellectually believe never however find sometimes looking others knowledge sense feeling superior feeling along journey,joy
1840,im feeling little anxious,fear
1841,get feeling tortured,anger
1842,im feeling pressured crunch time looming deadlines hit airport thursday know ill busy worry items days,fear
1843,feel valuable href http idreamculture,joy
1844,discussed previously last blog post apprehensive audiences become towards bathrooms automatically feel nervous become fantastic trope horror fiction,fear
1845,want hug drink beer together neither feel tortured time,anger
1846,im frightened feeling paranoid,fear
1847,surmise made sick one many times take sitcom runs come around feeling dissatisfied stationary life without much forward motion,anger
1848,want bury hatchet even though would best interest simply feel apologizing person insulted would make feel like punk,anger
1849,also feel paranoid everyone listening phone conversations whats,fear
1850,feel blessed able help,joy
1851,feel never escape something drawing attention forehead distressed imagine old age turn scrunching permanent wrinkles,fear
1852,crossed safe footing yet still feel way fearful unknown shaky uncertain,fear
1853,began feel agitated slightly dizzy amp hungry,fear
1854,feel like nurse reluctant know start optimistic one thing help,fear
1855,woke feeling confident watched bodypump dvd gather coaching tips compulsory cues,joy
1856,feel like drinkin drinkin angry someones gonna die whiskey beer les paul href http farm,anger
1857,started feeling nervous thinking id planned feed younger teens,fear
1858,feel jakun amused whole minutes,joy
1859,mustered energy feel christmassy remember feeling kind pissed bad timing everything,anger
1860,could ingrain mind feelings experiences reading hated everything happened next book could go back first pretend nothing ever happened past,anger
1861,feel like flagellating like weird albino priest angels demons every time see face,fear
1862,im blocked could least something constructive room needs major cleaning instance feel agitated im least research story require lot research,anger
1863,landed dubai started feel ok coming,joy
1864,feel job give tools needs successful person,joy
1865,know probably shouldnt write sort angry passion blog never want feel inhibited cannot post,fear
1866,however want know something someone causing feel less splendid self step away,joy
1867,give times feel point friendship one cant bothered,anger
1868,feel convinced ideal therapist presumably able professional necessity understand another person uniqueness wholeness without presupposition ought least fairly healthy human,joy
1869,feeling rather self satisfied teen daughter facebook friends,joy
1870,hate feeling fucked time,anger
1871,still feel irritable every day,anger
1872,go church service youth feel like im hated know im one,anger
1873,like feel pressured yet like spending time,fear
1874,feel impatient easily annoyed outraged blatant defiance seems olivias prominent characteristic days,anger
1875,feel bit insulted nothing like women bloody hate incessant bitching general bloody nothing time,anger
1876,completed card ago im feeling reluctant post,fear
1877,im feeling rather bothered physical mental clock still october,anger
1878,keep running hill fitness wise feel fine along foot calves starting hurt also begin tire,joy
1879,beginning think cut ranks frugal antics improv challenge beginning feel bit insecure first entry last month,fear
1880,see time feel anxious living eat,fear
1881,feel extremely honoured flattered turning advice matter hope help decision,joy
1882,begin feel terribly rude causes become depressed,anger
1883,im feeling outfit heels gorgeous,joy
1884,always feel pressured make perfect fit audiences gorgeous creativity,fear
1885,feeling irritation anger feeling insulted,anger
1886,remember knowing crazy love without shadow doubt made feel gorgeous always,joy
1887,feel pressured social situations yes much anymore love body enough abandon sake someone else beliefs,fear
1888,really hate feeling really give much damn someone really person show simply like cant bothered,anger
1889,feeling stressed get accomplished little amount time,anger
1890,started feeling reluctant go wanted spend time family left,fear
1891,hate getting behind feel pressured get back date move projects,fear
1892,im feeling frantic ive sleep,fear
1893,going crazy leas feeling pleasent fearful,fear
1894,feel world class player benzema mould would fantastic,joy
1895,im left today feeling anxious sad lonely,fear
1896,answer feeling clever,joy
1897,feel angry resentful need remind day sober made possible fellowship supports way,anger
1898,kept laptop close searching jobs could build career looking important christmas recipes make year feel little special,joy
1899,read story left feeling confused frustrated little angry,fear
1900,look forward feeling better write often,joy
1901,reach feeling uncertain needing support slap upside head know provide,fear
1902,mean feel feel like feel burden cant breathe suddenly im terrified october past weeks,fear
1903,dont know cans trust dont know feels trusting,joy
1904,know almost feeling angry within something tangible pragmatic help sisters,anger
1905,child song makes smile brought mediterranean love sea feel bones makes frightened surprise every day somehow many ways,fear
1906,lured idea event promise free champagne know brilliant talk bestselling author kathy lette left feeling genuinely inspired empowered,joy
1907,saw pianos either newer cheaper larger always something missing made feel uncertain buying,fear
1908,feel like need make list leanne would appalled thought dont miss anything,anger
1909,feel bitter honkerblonked general,anger
1910,feel like im whirlwind next im trying impatient wait,anger
1911,overcome heat started feeling weird,fear
1912,ended shoeless making feel even vulnerable slowing,fear
1913,able guess pick lot plot twists episode first hints given whether thats moffat using really obvious foreshadowing solid grasp narrative logic im sure like builds suspense makes feel clever,joy
1914,feel like manager everyday feel respected day well,joy
1915,im feeling really annoyed today,anger
1916,feel rather stressed preparations prom night,anger
1917,liked ending feel like little bit rushed,anger
1918,im feeling mellow side today,joy
1919,hope make feel greedy shit hope make feel greedy whore like sniiiiifff honey trying make feel loved happy,anger
1920,feel shy cause realized people behind didnt dance look us gt,fear
1921,say first listen yunhos raps gave wtf feeling listening couple times im determined learn,joy
1922,cycling past parked car someone opened door nearly pushed bike traffic,fear
1923,supposed ought feel thankful adding sarcastic edge age,joy
1924,sent home still feeling bit shaky dizzy,fear
1925,afrade life people feel quite hostile towards,anger
1926,posting past event feeling like insulted,anger
1927,feel im like bird flying air carefree manner,joy
1928,feeling impatient many ways equally aware important learn im season,anger
1929,feel little comes divine center,joy
1930,resorted yesterday post peak day illness still housebound feeling agitated peckish brew href http pics,fear
1931,make one feel called make sweet jesus sacrificed everything,joy
1932,feel order prevent lot company violent manager sort formal training well mental evaluation,anger
1933,dont want approach topic lightly time feel apprehensive putting,fear
1934,sitting feeling bit grumpy moanday blues anyone else feeling way,anger
1935,cannot good conscience encourage young kids read stuff someone feel vile matter good,anger
1936,actually feel really eager,joy
1937,break leaves feeling bitter,anger
1938,cant help feel bi jealous professional organization good support system comfortable living situation,anger
1939,tutorial fearful feeling came sat chair looked fellow students around really scared would ask questions challenge ideas presented,fear
1940,feel talented impacting things end moment,joy
1941,things christ gives strength lovely little verse repeat im feeling little unsure something,fear
1942,hate feeling despised detested someone truly care completely love,anger
1943,feel nervous anyone gets close,fear
1944,feel helpless time wherein practically option sit watch drama,fear
1945,im feeling bit shaken stirred nice bond reference ehh,fear
1946,stay awake whole night feeling energetic stuff,joy
1947,know specific almost everyone else similar experience still help feel appalled,anger
1948,im feeling agitated today,fear
1949,notice lump feel pain part body somehow become fearful scared,fear
1950,didnt feel much casual,joy
1951,taught look like could make feel scared confused excited nervous,fear
1952,feel insulted show opportunity finger door presented prize two weeks italy,anger
1953,im wanting look makes people feel ok ask questions,joy
1954,feel little strange chasing since im disappointed brand whole,fear
1955,feel like everything ive nothing sincere bothers wanted hurt even told,joy
1956,havent felt much like talking nothing bad feeling sociable ways,joy
1957,feeling little dissatisfied pictures last couple months,anger
1958,make vj feel jealous,anger
1959,feel disgusted ashamed,anger
1960,im feeling really quite angry,anger
1961,feeling reluctant players even finding library sage identify stuff,fear
1962,im putting palm blowing hoping gets ears universe feeling little generous day reaches,joy
1963,understand feeling anxious,fear
1964,didnt feel obnoxious didnt feel like anything sulk,anger
1965,fear thief,fear
1966,power make another want reality feel threatened desire control person href https eqafe,fear
1967,look forward continuing challenge feel appreciative boost get nutrition healthy track especially pregnancy important time life eating healthy,joy
1968,often feel bothered inability stop loving people matter much time passes deeply wrong,anger
1969,get depressed feel talented enough never create beautiful piece art,joy
1970,boyfriend split came friends house visiting male friend confrontation another room tried find aroused friend feeling parts,anger
1971,find question puts right edge bringing love dharma world edge feel vital necessary,joy
1972,feel fine read rest,joy
1973,im feeling somewhat indecisive terms alliance,fear
1974,didnt get wink sleep night continued feeling fabulous next morning,joy
1975,im still using blogger follow blogs like livejournals feature enabling private posts keep one journal without feeling inhibited writing things dont want publish net,fear
1976,grit teeth shook head spent next minutes feeling irritated,anger
1977,probably reason feel bit agitated,fear
1978,feel weighing filling thoughts try homework help special olympics,joy
1979,feel wimpy complaining taking credits semester know people took credits regularly man sucks,fear
1980,feel pressured talk,fear
1981,feel pretty weird considering friends colleagues nyc new jersey going reality,fear
1982,feeling cranky cooperative allowed sleep relax given opportunity fault body slam bosses harass museum visitors,anger
1983,notice feel little apprehensive even share,fear
1984,often feel working like hopefully benevolent goliath often undone humblest davids,joy
1985,feel fabulous,joy
1986,confess feel little apprehensive,fear
1987,feel like fine sex fully aware happen due action know different types protection prevent pregnancy,joy
1988,take look try get used feeling touch innocent,joy
1989,one sit stare blank computer screen scratch head times drink couple pots coffee feel triumphant write first sentence first sentence usually consists poop joke,joy
1990,swamp uncaring unfeeling fucked apathetic humanbeings wont pull heads asses long enough turn around look say see,anger
1991,feel like need tattoo peggy mara quote onto arm see next time feel disgusted disdainful disappointed children behavior,anger
1992,feel pretty shy right dont know,fear
1993,ill get round quarter im feeling hopeful one,joy
1994,feeling little bit hostile towards ex today,anger
1995,know pain parents feel enraged child becomes violent,anger
1996,read novels make feel relaxed,joy
1997,want something personalized appreciate least feel real sincere giving,joy
1998,even feel welcomed fold,joy
1999,feel invigorated one,joy
2000,im looking good feeling good crappy cold im dealing,joy
2001,didnt feel like moving around things going fine,joy
2002,im feeling restless today,fear
2003,feel weird morning,fear
2004,feel proud,joy
2005,truly feel irate,anger
2006,feel little paranoid may forget ive learnt,fear
2007,feel many petty people judged simply may one,anger
2008,know god said stuff yet right beginning feel anxious,fear
2009,feel bitter want rise,anger
2010,feel impatient much thanks nic knows calm,anger
2011,feel fucked tape last year make sure get,anger
2012,feel vulnerable coming election given performance,fear
2013,could feel joy rage coming one glad feeling back also glad went yoga tonight sometimes need know better crossfit coach side plank img src http,joy
2014,enjoyed feeling belonging sense recognised somehow valuable,joy
2015,feel like ive shaken around thrown,fear
2016,woke feeling distraught aware something terrible happen soon,fear
2017,im feeling fucked nothing cheer,anger
2018,feel like im one brain rude refuse sit loud rude people sit alone good book,anger
2019,feel quite jolly spite heat lack commercialism,joy
2020,building angie feeling profoundly betrayed angry,anger
2021,take lightly youre like probably feeling little skeptical product sold internet way become successful online,fear
2022,didnt convince soulmate feel reluctant use word regarding chemistry actually unlike anything ive ever experienced,fear
2023,feel unease room living room pleasant,joy
2024,feel feel reluctant,fear
2025,feel lot confident path ive chosen,joy
2026,waiting girlfriend come apt mine late thought something awful happened,fear
2027,think made known feel cold weather friends ready winter finished please please finished,anger
2028,feel students classroom hostile towards display intellect like rest society,anger
2029,think feel flushing alarmed headache medicine causes sometimes,fear
2030,feeling energetic alive happier long time,joy
2031,may feel relieved satisfied probably fun,joy
2032,feeling terrific implementing alternative medicine maintain health,joy
2033,honoured young woman felt comfortable enough ask kind faux hawk thing going back must looked dykey enough feel safe talking,joy
2034,feel despite pain makes suspicious might,fear
2035,im also pretty close exiting window feel like makes look freakishly neurotic,fear
2036,im still feeling little hesitant plunging multitude colored pencils nonetheless,fear
2037,hope enjoy feel offended,anger
2038,feel enormously honoured included list,joy
2039,im feeling comfortable water,joy
2040,hated hurt feelings hated dating somebody love hated pretended lied friend really treassured,anger
2041,feel incredibly nervous,fear
2042,feeling restless stepped kitchen whip crunchy sweet treat,fear
2043,anxious see movie bully trailer left feeling shaken nostalgic,fear
2044,hope condescending attitude allow present feel offended remember amount sunlight affects plant growth,anger
2045,feel like didnt really care alexis irritated even telling,anger
2046,already packed want wait around talk friend feeling irritable tired eventually gave trying go first place made feel situation,anger
2047,feel overwhelmed stressed pressured inside something magical happens take shoes go walk park beach,fear
2048,achieved specific athletic goal feel pretty fine form,joy
2049,im feeling uncertain,fear
2050,feel self satisfied proving get without car one typical americans dependent car foreign oil,joy
2051,probably go back washington permanently baby least although torn whether want yes bleu know feel still completely convinced,joy
2052,feel bitchy hurting,anger
2053,feeling little skeptical would arrive time situation improved fact despite various perfect party setups seeking ffxi nobody bothering set including duh im lazy,fear
2054,feel somewhat relieved disappointed two qualified venue questioned neither bothered make observations,joy
2055,feared would feel resentful process dont happy,anger
2056,told dh feeling internally shaky,fear
2057,feeling especially thankful many small blessings life right,joy
2058,feel honored grateful wonderful people entrusted us beautiful boy son,joy
2059,feel tips given useful especially parents young kids like,joy
2060,feel like people aggravated,anger
2061,sometimes feel like artistic redcoat,joy
2062,feel peaceful best nature,joy
2063,feeling bit doubtful last couple weeks,fear
2064,got feeling hated would admit let know ive hated every single obstacle kept every single leaden block kept placed clear path one anothers arms,anger
2065,feel read words realize one time good writer feeling shared sympathies,joy
2066,feel helpless well protected,fear
2067,started feel really confused,fear
2068,feel like talented young man feel talented work,joy
2069,feel super shifting super circles,joy
2070,need hold hug like love really love quiet sit stop something stupid cant parents cos know id run cant run people feel rude,anger
2071,show feelings well family fans either,joy
2072,believe feel nervous father reassures nothing nervous makes nervous,fear
2073,feeling pretty restless right typing,fear
2074,feel pressured dumb feeling,fear
2075,feel hateful given friendship woman couple others reasons admit defeat let husband make feel insecure feel need avoid cut life securities challenged,anger
2076,tend want cook feel grumpy tired stressed,anger
2077,feel resolved soon enough damaging effect hard work girlfriend put relationship,joy
2078,cannot remember mix heard first remembering making feeling irritable,anger
2079,ive trying tell feelbut never smart,joy
2080,know effects day day happenings serenity subtle times end feeling irritable discontent without knowing,anger
2081,stopped feeling cold began feeling hot,anger
2082,decided first time months try wearing ugly pink black running shoes least feel little bit cute going,joy
2083,feel genuinely shy cautious women home reading shades think theres something wrong dont orgasm someone touches boob,fear
2084,remember feeling annoyed also wondering stop buy something,anger
2085,asked one gift go sister house everyone gathers holiday feel impolite show empty handed,anger
2086,dont want put pressure upon minor feel like would useful without,joy
2087,left place feeling slightly shaken hard read hear things,fear
2088,feeling eager hopped tube ride eye london,joy
2089,love treadmill actually used actually feel intimidated running outside,fear
2090,feel satisfied necessarily forget pain felt,joy
2091,feel intimidated wide open design therefore find hard write,fear
2092,also feel proud,joy
2093,receive good news joy like magi feel threatened gods message like herod,fear
2094,feel bring coming savage wax doll clouds blown across tak feeling bare feet moving fast brought love time yet made,anger
2095,go modes want write feel disgusted write,anger
2096,completely lose ability segregate feelings actions rude hurtful father husband also hero best friend heart,anger
2097,write feel bit anxious,fear
2098,feel fucked time able concentrate anything amp feeling anxiety time everything makes stressed apathetic amp cant handle stress,anger
2099,feeling overwhelmed lately,fear
2100,devote significant amount emotional energy feeling anxious thus become irritable frustrated little provocation,fear
2101,feel hateful alone,anger
2102,feel irritated peaceful,anger
2103,still feel uncertain many new paths must travel lost feel sometimes sure heavenly father lifting helping feel joy things matter,fear
2104,feel like every one one attitude aggravated asked,anger
2105,feel dissatisfied distracted life,anger
2106,im feeling tad rebellious right,anger
2107,feel little calmer im irritable impatient,anger
2108,inquire incheswhyinches people relocating droves feel security precious metal,joy
2109,feel agitated im nervous im anxious,anger
2110,go elated laughing plunging back extreme misery simple exchange feels dangerous,anger
2111,feel really effecting attitude toward feel bitter angry,anger
2112,experienced feeling people get charmed attracted someone time enough blessing,joy
2113,overwhelmed joy received acceptance letter unza happened passed first year courses,joy
2114,spent lot childhood feeling completely frightened remember lot good things,fear
2115,really feel amp dont uptight expectations others met,fear
2116,also find challenging wrap story brings good closure conclusion leave reader feeling cheated rushed,anger
2117,said dont know believe important day ever lived want share feel important day life,joy
2118,think nobody reach feel suspicious,fear
2119,struggled fit work module felt frustrated times feeling blogs rushed although read great interested fellow students blogs feel havent interacted much could done definite area development,anger
2120,feel relaxed playing carl clarke says,joy
2121,im car roommate family feel like im rude call dad dad give directions keeps asking needs bring,anger
2122,learning one default reactions feel threatened,fear
2123,feel less bothered get rape stick ass think statement like says lot speaker target,anger
2124,seem feeling little less anxious week sure wish could check every week doctor instead scheduled,fear
2125,slowly paying debts feel generally happy im,joy
2126,dont know feeling fearful,fear
2127,sat computer feeling nervous excited little silly,fear
2128,look around people around feel almost slightly envious way motivating sitting studying hard,anger
2129,starting feel nervous lifetime fandom build stood donning vip sticker,fear
2130,ive lost lbs january year wicked part feels keen try new clothing tell deserve new clothing,joy
2131,stopped looking solution problem stopped feeling like dissatisfied,anger
2132,raphael says grasping usual eloquence feeling slip fingers spiteful ease,anger
2133,still feel insecure,fear
2134,feel safe encoding utf locale en isprivate false ismobile false mobileclass isprivateblog false languagedirection ltr feedlinks link rel alternate type application atom xml title could use standing ovation could,joy
2135,cleaning place minutes started feeling paranoid assume beginning psychotic episode,fear
2136,glanced window people strolling sidewalks carefree suddenly feeling envious reasons explain,anger
2137,feel little frustrated ache longing settled heart weariness life slipped around shoulders like unwelcome friend,anger
2138,think easiest time year feel dissatisfied,anger
2139,press play yeah watch movie five times row right feel satisfied cant wait share made friends,joy
2140,get lots praises feel proud sometimes,joy
2141,feeling much like experiencing strange head neck twinges,fear
2142,eaten particularly dreadful railway burger feeling irritated even read remarks hence suggestion called environment secretary,anger
2143,feeling apprehensive future moment,fear
2144,would throw things feel terrified agitated,fear
2145,lie bed legs constant motion feel control shaken tapped something,fear
2146,feel cool seldom empty pale,joy
2147,feel person politician cannot allow dogs run around streets dangerous others,anger
2148,wonder bias fact im bible themed anthology feel like intelligence insulted,anger
2149,im warning hes feeling cranky morning,anger
2150,feel annoyed img class aligncenter size full wp image src http mrdanbaird,anger
2151,sort suspected going feel resentful really show best side,anger
2152,feel innocent love,joy
2153,see anything would cause feel fearful distrustful,fear
2154,left tonight feeling hopeful future orphan crisis country,joy
2155,like feel working puzzles helps improve fine motor skills teaches follow set instructions order make something,joy
2156,feel dissatisfied passing weekend,anger
2157,remember spending hours trying bump score mark feeling frustrated questions mixture professor generated usmleasy ones,anger
2158,im feeling less fearful today ptl,fear
2159,boyfriend last told loved gave impulsive kiss,joy
2160,feel special amp blessed caring amp creative family,joy
2161,beginning feel anxious asked help,fear
2162,love autumn everything comes although feel getting excited christmas way early year friends including href http andthenwear,joy
2163,feel weird href http bondmusings,fear
2164,tell people feels like trying convince people innocent one believes,joy
2165,feel simultaneously superior inferior writer wish could take back things said,joy
2166,still working guilt feeling selfish self preservation without justification must survive bring babies,anger
2167,think apologizes little much stuff control get feeling sincere one,joy
2168,feel overwhelmed rushed,fear
2169,feeling left relaxed enough really justice,joy
2170,feel like would clever get ton things time,joy
2171,come home work often feeling irritable fair loving dump ugliness onto husband,anger
2172,feel completely honored influence young talented fully alive beautiful girl woman,joy
2173,im glad god feel safe,joy
2174,hope always remain grateful even feeling little unsure endeavors,fear
2175,still cramps plus get really dizzy stand whole body aching generally feel extremely uncomfortable,fear
2176,didnt cry starting feel neurotic sister amazingly chill morning brought ativan,fear
2177,feel educating families supporting educationg mamas papas key,joy
2178,feel write truly innocent even though quite bit feeling involved,joy
2179,feel like go supermarket buy something totally delicious dinner money mother put account today,joy
2180,every feel free,joy
2181,know find job god plan im feeling little uncertain everything moment,fear
2182,feel like successful independent woman la destinys child,joy
2183,first day visited hospital disgusted experienced offensive smell never expected nearly ran away course,anger
2184,bag still feeling strong,joy
2185,feel like dlk could make pretty sweet full length,joy
2186,feeling stressed overwhelmed come rely met mostly club,anger
2187,feel kind insecure anyways back doha,fear
2188,would feel excited waiting mailman come house handing letters,joy
2189,mean didnt feel like one felt like casual outing meeting catch,joy
2190,hope makes friends feels welcomed,joy
2191,remember feeling impatient even struggling like times,anger
2192,feel tortured sense wrong,fear
2193,feel selfish times wanting escape day day feel like thinking kids taking instead,anger
2194,horrible tragedy something terribly ashamed something causing great pain making feel vulnerable one two trusted people know could call help,fear
2195,feel honored veil lifted moment,joy
2196,feel though least range age doubtful believing religion uncommon mother born sees atheist means cannot moral person,fear
2197,really loved day made feel gratitude wonderful day made feel happy,joy
2198,feeling irate,anger
2199,feel nervous,fear
2200,feeling irritated supposed guy wasting valuable time talking lady,anger
2201,feel peaceful whole situation,joy
2202,im feeling hesitant wanting buy another house,fear
2203,feel like give shout delicious,joy
2204,reply feeling suspicious,fear
2205,wrong ridiculous feel pissed,anger
2206,finding able student thought,fear
2207,would feel helpless feeling wronged frustrated misunderstood,fear
2208,shopping friend day asked feeling book coming said terrified asked,fear
2209,felt good fact went zumba half hour later hour left feeling even energetic possible,joy
2210,feel like welcomed tight knit family make sure feel alone ever,joy
2211,feel quite mad,anger
2212,feel bit reluctant turn people,fear
2213,feel bit jealous trying date long time ago doesnt want,anger
2214,cant seem hold back comes feeling wish could heartless keep pain away sigh whatever fucking emo live journal,anger
2215,really remember feeling wonderful oatmeal bath,joy
2216,writing feeling appalled,anger
2217,want every woman feel kind love god sheri shares letters king positive,joy
2218,feeling sarcastic ivspirit href http translatethis,anger
2219,turn head away even feel frightened,fear
2220,normally better avoiding expensive pre packaged products go waitrose still feeling bit shaken parking issues bought extra bits calm nerves,fear
2221,feeling tad smug right,joy
2222,feel though determined annoy know dont want listening radio,joy
2223,feel strong urge stop work trip,joy
2224,feeling envious nations despite small land,anger
2225,think feeling excited today,joy
2226,im feeling rather hostile whole hostel situation,anger
2227,love everything learning feel really passionate design,joy
2228,sing confident feel still get little nervous opening night,fear
2229,couldnt help feel totally distraught utterly helpless lorena kidnapped tortured almost death band enemies desperate freedom,fear
2230,feel like people internet issues online friends expect hateful mean well,anger
2231,try feel im judged eyes see weird vain bastard thinks much,fear
2232,cannot thank enough always finding way make feel better,joy
2233,feel contented relieving scene mind,joy
2234,incredibly youthful employment angry stay feeling offended simply wasnt professional decided,anger
2235,dont drink green charged water days feel irritable disoriented,anger
2236,want see feels something feel obnoxious,anger
2237,swung feeling resentful others need feeling ashamed angry able better daughter sister friend citizen,anger
2238,need need someone need protected feel safe small find season words,joy
2239,feel someone rude wrongly done something lose,anger
2240,plodded taking far long feeling rather virtuous,joy
2241,wonder ever feel pain sadness always seem lively,joy
2242,im feeling much positive impending move,joy
2243,feel control petty dissatisfactions trying act think feel positive lives,anger
2244,feel bitter supposed providing privileged space someone else dont get,anger
2245,feel shaken im far far age group targeted,fear
2246,working certain place everyday work dad would come pick one day come,fear
2247,feel someone wronged feel wronged get riled action find offensive unsheathe sword good lord better look,anger
2248,feel greedy thoughts relief let linger,anger
2249,gotta feeling da bul taewuhbeoryeo burn gotta feeling niga ulbujitneun nal ah neoneun wiheomhae gal ttaekkaji gatsseo get away woooo becuz cuz dangerous b,anger
2250,feel quite successful achieving vision,joy
2251,feel hesitant contacting,fear
2252,feel rude take someone photo rather feel awkward asking take photo,anger
2253,grateful strong support system internally externally rely feeling uncertain weak,fear
2254,tend little relaxed days im forced bit flexible toddlers lot days im left feeling frustrated didnt get done,anger
2255,feel offended youre offended way oh crap go offending people way,anger
2256,stopped feeling clever felt memory done,joy
2257,feel like want punch handsome face,joy
2258,feel like less person constantly hear family members use hateful language every time anything even remotely related homosexuality comes,anger
2259,feel paranoid want feel like back ever,fear
2260,feel like karen far greedy pushy demanding fronts,anger
2261,hope run around irrationally killing people feel threatened like animals,fear
2262,feel like tortured artist talk,anger
2263,feel honor precious little girls mother,joy
2264,read sentinel article hanford city councilman dan chins proposed media policy secret committee meetings feelings could summed single word alarmed,fear
2265,usually use smaller legos however year students fine motor delays want students feel successful,joy
2266,car prizecompetition moment informed,joy
2267,want feel sweet embrace dont take paper bag face love smile face eyes damn im good telling lies,joy
2268,feel little skeptical got lose,fear
2269,feel never really told much guess scared havent got anything loose,fear
2270,feel intimidated girls acne getting rid pimples,fear
2271,guess feel insecure anxious,fear
2272,remember disappointed showing months actually feel like less lady like movements acceptable,joy
2273,spend obsessing decisions feeling anxious,fear
2274,feel like lucky like four leaf clover,joy
2275,really feel like time get mad,anger
2276,know feels like face irate customers,anger
2277,guess boys feeling shy sick honestly could use help,fear
2278,know still feel kind agitated also switch feeling hot feeling cold lay,anger
2279,burst feeling shaken pretty sure hit bird,fear
2280,heart serve better situation moment feel helpless,fear
2281,must find way accept limitations older without feeling held back resentful,anger
2282,worried knowing high feeling little paranoid never never type person would think care people think would always focus get needed get life,fear
2283,want able leave house without feeling terrified im going work every day,fear
2284,im feeling shy approach,fear
2285,feel getting distracted real,anger
2286,fascinated feel uptight many challenges life,fear
2287,write still vaguely spacy feeling im sure ill effective human,joy
2288,feel show success glad decided pg live may better get planning,joy
2289,feel absolutely assured informing need get hands set,joy
2290,feel tension permeates air calm storm,joy
2291,asylum seeker know live country without feeling assaulted,fear
2292,feeling uncertain insecure fearful,fear
2293,dam lake,fear
2294,dont know lately feel dissatisfied,anger
2295,extremely blessed wonderful life often guilty feeling envious upset someone blessings special recognition appears better,anger
2296,im feeling selfish right want time back,anger
2297,feel honored students come classes,joy
2298,feel like meet subtly obnoxious annoying people universe,anger
2299,range always giving feel reluctant select spray anyone select exposed variants,fear
2300,feel like im petty,anger
2301,sit feeling annoyed sons pets husband im also trying think something feel grateful saturday,anger
2302,love smell makes feel invigorated fresh happy,joy
2303,feel distressed music mind rewrite fma op,fear
2304,ive lot good days feel fabulous lots energy lately ive also bad days feel gigantic slow clumsy,joy
2305,feel nervous think going australia though feel exited time,fear
2306,feeling fabulous friday morning started get awful cramps work,joy
2307,feel respected,joy
2308,im saying would make feel successful,joy
2309,im probably least talkative person group always feel glad going even intense uncomfortable feel vulnerable,joy
2310,felt sad apprehensive angry vertigo left feeling uncertain,fear
2311,finally realized needed feel useful blogging allowed,joy
2312,feel agitated right,fear
2313,feel vicious sleepy,anger
2314,feel kick move know ok,joy
2315,feel scared,fear
2316,feel honored accept invitation,joy
2317,going loved made feel woman like could valuable stood chance told could get lazy bandaid better character could hope,joy
2318,saw starving people ethiopia tv felt awful see suffering,anger
2319,feeling extremely annoyed restless,anger
2320,feeling abnormally wimpy staked bird feeder,fear
2321,want stop taking one day also feel terrified lots feelings anxiety panic come flooding back,fear
2322,one close friends saying didnt like way nice people dont know,anger
2323,feel agitated annoyed see feel darkness everywhere,fear
2324,actually feel comfortable speaking others japanese feel pretty happy current progress,joy
2325,im feeling little smug im usually running late whatever im planning,joy
2326,feel strange effects,fear
2327,im trying disagree sex intercourse feels weird gt,fear
2328,start feeling overwhelmed want run away hide back closet,fear
2329,feel im much productive get less distracted feel much accomplished,joy
2330,done something feel inspired challenged,joy
2331,hoping running thing works like numerous success stories accumulated far feeling hopeful today,joy
2332,feel strange disconnect,fear
2333,need feel like time valuable,joy
2334,carried around audre lorde quote often refer feeling fearful uncertain things dare powerful use strength service vision becomes less less important whether afraid,fear
